titolo,durata,genere,rating,regista,cast,classificazione,film_id
The Idea of You,115.0,"Commedia, Dramma, Romantico",6.4,Michael Showalter,"Anne Hathaway, Nicholas Galitzine, Ella Rubin, Annie Mumolo",VM18,1
Kingdom of the Planet of the Apes,145.0,"Azione, Avventura, Fantascienza",7.3,Wes Ball,"Owen Teague, Freya Allan, Kevin Durand, Peter Macon",VM14,2
Unfrosted,97.0,"Biografia, Commedia, Storico",5.5,Jerry Seinfeld,"Isaac Bae, Jerry Seinfeld, Chris Rickett, Rachael Harris",VM14,3
The Fall Guy,126.0,"Azione, Commedia, Dramma",7.3,David Leitch,"Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson, Hannah Waddingham",VM14,4
Challengers,131.0,"Dramma, Romantico, Sport",7.7,Luca Guadagnino,"Zendaya, Mike Faist, Josh O'Connor, Darnell Appling",VM18,5
Abigail,109.0,"Horror, Thriller",6.8,Matt Bettinelli-Olpin,"Tyler Gillett, Melissa Barrera, Dan Stevens, Alisha Weir, William Catlett",VM18,6
Civil War,109.0,"Azione, Avventura, Thriller",7.5,Alex Garland,"Kirsten Dunst, Wagner Moura, Cailee Spaeny, Nick Offerman",VM18,7
Anyone But You,103.0,"Commedia, Romantico",6.1,Will Gluck,"Sydney Sweeney, Glen Powell, Alexandra Shipp, Mia Artemis",VM18,8
The Ministry of Ungentlemanly Warfare,120.0,"Azione, Dramma, Guerra",7.0,Guy Ritchie,"Henry Cavill, Alan Ritchson, Alex Pettyfer, Eiza González",VM18,9
Dune: Part Two,166.0,"Azione, Avventura, Dramma",8.7,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem",VM14,10
Furiosa: A Mad Max Saga,148.0,"Azione, Avventura, Fantascienza",8.3,George Miller,"Anya Taylor-Joy, Chris Hemsworth, Charlee Fraser, Lachy Hulme",VM18,11
Gojira -1.0,124.0,"Azione, Avventura, Dramma",8.0,Takashi Yamazaki,"Minami Hamabe, Ryunosuke Kamiki, Sakura Andô, Rikako Miura",VM14,12
Ghostbusters: Frozen Empire,115.0,"Avventura, Commedia, Fantasy",6.2,Gil Kenan,"Paul Rudd, Carrie Coon, Finn Wolfhard, Mckenna Grace",VM14,13
Love Lies Bleeding,104.0,"Azione, Avventura, Crime",6.8,Rose Glass,"Anna Baryshnikov, Kristen Stewart, Dave Franco, Katy O'Brian",VM18,14
The Judge,141.0,"Crime, Dramma, Mistero",7.4,David Dobkin,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton",,15
IF,104.0,"Animazione, Commedia, Dramma",6.8,John Krasinski,"Cailey Fleming, Ryan Reynolds, John Krasinski, Phoebe Waller-Bridge",T,16
Late Night with the Devil,93.0,Horror,7.1,Cameron Cairnes,"Colin Cairnes, David Dastmalchian, Laura Gordon, Ian Bliss, Fayssal Bazzi",VM18,17
War for the Planet of the Apes,140.0,"Azione, Avventura, Dramma",7.4,Matt Reeves,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval",,18
Monkey Man,121.0,"Azione, Thriller",7.0,Dev Patel,"Dev Patel, Sharlto Copley, Pitobash, Jatin Malik",VM18,19
Shaitaan,132.0,"Horror, Thriller",6.8,Vikas Bahl,"Ajay Devgn, Madhavan, Jyotika, Janki Bodiwala",,20
Tarot,92.0,Horror,5.0,Spenser Cohen,"Anna Halberg, Avantika, Jacob Batalon, Olwen Fouéré, Harriet Slater",VM14,21
Godzilla x Kong: The New Empire,115.0,"Azione, Avventura, Fantasy",6.4,Adam Wingard,"Rebecca Hall, Brian Tyree Henry, Dan Stevens, Kaylee Hottle",VM14,22
Poor Things,141.0,"Commedia, Dramma, Romantico",7.9,Yorgos Lanthimos,"Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef",VM18,23
Arcadian,92.0,"Azione, Horror, Thriller",5.5,Benjamin Brewer,"Nicolas Cage, Jaeden Martell, Maxwell Jenkins, Sadie Soverall",VM18,24
Bullet Train,127.0,"Azione, Commedia, Thriller",7.3,David Leitch,"Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry",,25
Star Wars: Episode I - The Phantom Menace,136.0,"Azione, Avventura, Fantasy",6.5,George Lucas,"Ewan McGregor, Liam Neeson, Natalie Portman, Jake Lloyd",,26
Turtles All the Way Down,111.0,"Dramma, Romantico",6.7,Hannah Marks,"Isabela Merced, Cree, Judy Reyes, Felix Mallard",VM14,27
Rise of the Planet of the Apes,105.0,"Azione, Dramma, Fantascienza",7.6,Rupert Wyatt,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval",,28
Oppenheimer,180.0,"Biografia, Dramma, Storico",8.3,Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr.",VM18,29
Planet of the Apes,120.0,"Azione, Avventura, Fantascienza",5.7,Tim Burton,"Mark Wahlberg, Helena Bonham Carter, Tim Roth, Michael Clarke Duncan",,30
Dawn of the Planet of the Apes,130.0,"Azione, Avventura, Dramma",7.6,Matt Reeves,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee",,31
The Iron Claw,132.0,"Biografia, Dramma, Sport",7.7,Sean Durkin,"Zac Efron, Jeremy Allen White, Harris Dickinson, Maura Tierney",,32
Back to Black,122.0,"Biografia, Dramma, Musica",6.6,Sam Taylor-Johnson,"Marisa Abela, Eddie Marsan, Jack O'Connell, Lesley Manville",VM18,33
The Beekeeper,105.0,"Azione, Thriller",6.4,David Ayer,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi, Josh Hutcherson",VM18,34
Road House,121.0,"Azione, Thriller",6.2,Doug Liman,"Jake Gyllenhaal, Daniela Melchior, Conor McGregor, Billy Magnussen",VM18,35
Argylle,139.0,"Azione, Commedia, Thriller",5.7,Matthew Vaughn,"Henry Cavill, Bryce Dallas Howard, Sam Rockwell, Bryan Cranston",VM14,36
Miller's Girl,93.0,"Commedia, Dramma",5.2,Jade Halley Bartlett,"Martin Freeman, Jenna Ortega, Bashir Salahuddin, Gideon Adlon",VM18,37
Dune,155.0,"Azione, Avventura, Dramma",8.0,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac",,38
Barbarian,102.0,"Horror, Mistero, Thriller",7.0,Zach Cregger,"Georgina Campbell, Bill Skarsgård, Justin Long, Matthew Patrick Davis",,39
The Holdovers,133.0,"Commedia, Dramma",7.9,Alexander Payne,"Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa, Carrie Preston",VM18,40
Mad Max: Fury Road,120.0,"Azione, Avventura, Fantascienza",8.1,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz",,41
The Garfield Movie,101.0,"Animazione, Avventura, Commedia",6.1,Mark Dindal,"Chris Pratt, Samuel L. Jackson, Hannah Waddingham, Ving Rhames",,42
Rebel Moon - Part Two: The Scargiver,122.0,"Azione, Avventura, Dramma",5.2,Zack Snyder,"Sofia Boutella, Djimon Hounsou, Ed Skrein, Michiel Huisman",VM14,43
The Gentlemen,113.0,"Azione, Crime",7.8,Guy Ritchie,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong",,44
Kung Fu Panda 4,94.0,"Animazione, Azione, Avventura",6.3,Mike Mitchell,"Stephanie Stine, Jack Black, Awkwafina, Viola Davis, Dustin Hoffman",T,45
The Zone of Interest,105.0,"Dramma, Storico, Guerra",7.4,Jonathan Glazer,"Christian Friedel, Sandra Hüller, Johann Karthaus, Luis Noah Witte",VM14,46
The Godfather,175.0,"Crime, Dramma",9.2,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton",,47
Immaculate,89.0,Horror,5.9,Michael Mohan,"Sydney Sweeney, Álvaro Morte, Simona Tabasco, Benedetta Porcaroli",VM18,48
Planet of the Apes,112.0,"Avventura, Fantascienza",8.0,Franklin J. Schaffner,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans",,49
Barbie,114.0,"Avventura, Commedia, Fantasy",6.8,Greta Gerwig,"Margot Robbie, Ryan Gosling, Issa Rae, Kate McKinnon",,50
Titanic,194.0,"Dramma, Romantico",7.9,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates",,51
In the Land of Saints & Sinners,106.0,"Azione, Crime, Thriller",6.3,Robert Lorenz,"Kerry Condon, Desmond Eastwood, Conor MacNeill, Seamus O'Hara",VM18,52
Where the Crawdads Sing,125.0,"Dramma, Mistero, Romantico",7.2,Olivia Newman,"Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson, David Strathairn",,53
Unsung Hero,113.0,"Dramma, Per famiglie",7.8,Richard L. Ramsey,"Joel Smallbone, Daisy Betts, Joel Smallbone, Kirrilee Berger, Jonathan Jackson",T,54
Rebel Moon - Part One: A Child of Fire,133.0,"Azione, Avventura, Dramma",5.6,Zack Snyder,"Sofia Boutella, Djimon Hounsou, Ed Skrein, Michiel Huisman",VM14,55
Purple Hearts,122.0,"Dramma, Musica, Romantico",6.7,Elizabeth Allen Rosenbaum,"Sofia Carson, Nicholas Galitzine, Chosen Jacobs, John Harlan Kim",,56
Arthur the King,107.0,"Avventura, Dramma",7.0,Simon Cellan Jones,"Mark Wahlberg, Simu Liu, Juliet Rylance, Nathalie Emmanuel",VM14,57
X,105.0,"Horror, Mistero, Thriller",6.5,Ti West,"Mia Goth, Jenna Ortega, Brittany Snow, Kid Cudi",VM18,58
"Red, White & Royal Blue",118.0,"Commedia, Romantico",7.0,Matthew López,"Taylor Zakhar Perez, Nicholas Galitzine, Uma Thurman, Jemma Redgrave",VM18,59
The Shawshank Redemption,142.0,Dramma,9.3,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",,60
Boy Kills World,111.0,"Azione, Crime, Thriller",6.7,Moritz Mohr,"Bill Skarsgård, Jessica Rothe, Michelle Dockery, Brett Gelman",VM18,61
Twister,113.0,"Azione, Avventura, Thriller",6.5,Jan de Bont,"Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz",,62
Madame Web,116.0,"Azione, Avventura, Fantascienza",3.9,S.J. Clarkson,"Dakota Johnson, Sydney Sweeney, Isabela Merced, Celeste O'Connor",VM14,63
The Strangers: Chapter 1,91.0,Horror,6.4,Renny Harlin,"Madelaine Petsch, Ryan Bown, Matus Lajcak, Olivia Kreutzova",VM18,64
Anatomie d'une chute,151.0,"Crime, Dramma, Thriller",7.7,Justine Triet,"Sandra Hüller, Swann Arlaud, Milo Machado-Graner, Antoine Reinartz",VM18,65
Interstellar,169.0,"Avventura, Dramma, Fantascienza",8.7,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",,66
Star Wars,121.0,"Azione, Avventura, Fantasy",8.6,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness",,67
Saltburn,131.0,"Dramma, Thriller",7.0,Emerald Fennell,"Barry Keoghan, Jacob Elordi, Rosamund Pike, Richard E. Grant",VM18,68
Once Upon a Time in... Hollywood,161.0,"Commedia, Dramma",7.6,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch",,69
Dark Waters,126.0,"Biografia, Dramma, Storico",7.6,Todd Haynes,"Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman",VM14,70
Land of Bad,113.0,"Azione, Thriller",6.5,William Eubank,"Liam Hemsworth, Russell Crowe, Luke Hemsworth, Ricky Whittle",VM18,71
Wish,95.0,"Animazione, Avventura, Commedia",5.6,Chris Buck,"Fawn Veerasunthorn, Ariana DeBose, Chris Pine, Alan Tudyk, Angelique Cabral",T,72
The Equalizer 3,109.0,"Azione, Crime, Thriller",6.8,Antoine Fuqua,"Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman",VM18,73
Force of Nature: The Dry 2,120.0,"Crime, Mistero, Thriller",6.1,Robert Connolly,"Eric Bana, Anna Torv, Deborra-Lee Furness, Robin McLeavy",VM18,74
Perfect Days,124.0,Dramma,7.9,Wim Wenders,"Koji Yakusho, Tokio Emoto, Arisa Nakano, Miyako Tanaka",T,75
The Lord of the Rings: The Fellowship of the Ring,178.0,"Azione, Avventura, Dramma",8.9,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",,76
Love,135.0,"Dramma, Romantico",6.1,Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra",,77
Top Gun: Maverick,130.0,"Azione, Dramma",8.2,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer",,78
All of Us Strangers,105.0,"Dramma, Fantasy, Romantico",7.7,Andrew Haigh,"Andrew Scott, Paul Mescal, Carter John Grout, Jamie Bell",VM18,79
I Saw the TV Glow,100.0,"Dramma, Horror",6.6,Jane Schoenbrun,"Justice Smith, Brigette Lundy-Paine, Ian Foreman, Helena Howard",VM14,80
Killers of the Flower Moon,206.0,"Crime, Dramma, Storico",7.6,Martin Scorsese,"Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons",,81
The First Omen,119.0,Horror,6.8,Arkasha Stevenson,"Nell Tiger Free, Ralph Ineson, Sonia Braga, Tawfeek Barhom",VM18,82
Gladiator,155.0,"Azione, Avventura, Dramma",8.5,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",,83
Wonka,116.0,"Avventura, Commedia, Per famiglie",7.0,Paul King,"Timothée Chalamet, Gustave Die, Murray McArthur, Paul G. Raymond",T,84
Damsel,110.0,"Azione, Avventura, Fantasy",6.1,Juan Carlos Fresnadillo,"Millie Bobby Brown, Ray Winstone, Angela Bassett, Brooke Carter",VM14,85
The Equalizer,132.0,"Azione, Crime, Thriller",7.2,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour",,86
Pulp Fiction,154.0,"Crime, Dramma",8.9,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis",,87
The Peanut Butter Falcon,97.0,"Avventura, Commedia, Dramma",7.6,Tyler Nilson,"Michael Schwartz, Zack Gottsagen, Ann Pierce, Dakota Johnson, Bruce Dern",,88
Inception,148.0,"Azione, Avventura, Fantascienza",8.8,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",,89
The Dark Knight,152.0,"Azione, Crime, Dramma",9.0,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",,90
Migration,83.0,"Animazione, Avventura, Commedia",6.7,Benjamin Renner,"Guylo Homsy, Kumail Nanjiani, Tresi Gazal, Elizabeth Banks, Caspar Jennings",T,91
Harry Potter and the Sorcerer's Stone,152.0,"Avventura, Per famiglie, Fantasy",7.6,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris",,92
The Talented Mr. Ripley,139.0,"Crime, Dramma, Thriller",7.4,Anthony Minghella,"Matt Damon, Gwyneth Paltrow, Jude Law, Cate Blanchett",,93
The Black Phone,103.0,"Horror, Mistero, Thriller",6.9,Scott Derrickson,"Mason Thames, Madeleine McGraw, Ethan Hawke, Jeremy Davies",,94
Ghostbusters: Afterlife,124.0,"Avventura, Commedia, Fantasy",7.0,Jason Reitman,"Carrie Coon, Paul Rudd, Finn Wolfhard, Mckenna Grace",,95
Ghostbusters,105.0,"Azione, Commedia, Fantasy",7.8,Ivan Reitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",,96
Leave the World Behind,138.0,"Dramma, Mistero, Thriller",6.5,Sam Esmail,"Julia Roberts, Mahershala Ali, Ethan Hawke, Myha'la",VM18,97
Grease,110.0,"Commedia, Musical, Romantico",7.2,Randal Kleiser,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway",,98
The Lord of the Rings: The Return of the King,201.0,"Azione, Avventura, Dramma",9.0,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",,99
The Great Wall,103.0,"Azione, Avventura, Fantasy",5.9,Yimou Zhang,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau",VM14,100
The Last Stop in Yuma County,90.0,"Crime, Thriller",7.0,Francis Galluppi,"Jim Cummings, Faizon Love, Jocelin Donahue, Michael Abbott Jr.",VM18,101
Something in the Water,86.0,Thriller,4.1,Hayley Easton Street,"Hiftu Quasem, Lauren Lyle, Natalie Mitson, Nicole Rieko Setsuko",VM18,102
No Hard Feelings,103.0,"Commedia, Romantico",6.4,Gene Stupnitsky,"Jennifer Lawrence, Andrew Barth Feldman, Laura Benanti, Matthew Broderick",,103
The Hunger Games: The Ballad of Songbirds & Snakes,157.0,"Azione, Avventura, Dramma",6.7,Francis Lawrence,"Rachel Zegler, Tom Blyth, Viola Davis, Dexter Sol Ansell",VM14,104
Manjummel Boys,135.0,"Avventura, Thriller",8.4,Chidambaram,"Soubin Shahir, Sreenath Bhasi, Balu Varghese, Ganapathi",,105
Blended,117.0,"Commedia, Romantico",6.5,Frank Coraci,"Adam Sandler, Drew Barrymore, Wendi McLendon-Covey, Kevin Nealon",,106
Schindler's List,195.0,"Biografia, Dramma, Storico",9.0,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall",,107
Old,108.0,"Dramma, Horror, Mistero",5.8,M. Night Shyamalan,"Gael García Bernal, Vicky Krieps, Rufus Sewell, Alex Wolff",,108
The Mummy,124.0,"Azione, Avventura, Fantasy",7.1,Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",,109
The Matrix,136.0,"Azione, Fantascienza",8.7,Lana Wachowski,"Lilly Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",,110
Forrest Gump,142.0,"Dramma, Romantico",8.8,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field",,111
Poolman,100.0,"Commedia, Mistero",4.5,Chris Pine,"Chris Pine, Jennifer Jason Leigh, Danny DeVito, Annette Bening",VM18,112
One More Shot,103.0,"Azione, Thriller",5.4,James Nunn,"Scott Adkins, Michael Jai White, Alexis Knapp, Tom Berenger",VM18,113
Star Wars: Episode II - Attack of the Clones,142.0,"Azione, Avventura, Fantasy",6.6,George Lucas,"Hayden Christensen, Natalie Portman, Ewan McGregor, Christopher Lee",,114
The Bikeriders,116.0,"Crime, Dramma",7.5,Jeff Nichols,"Jodie Comer, Austin Butler, Tom Hardy, Michael Shannon",VM18,115
Hit Man,115.0,"Azione, Commedia",7.6,Richard Linklater,"Glen Powell, Adria Arjona, Retta, Austin Amelio",VM18,116
The Wolf of Wall Street,180.0,"Biografia, Commedia, Crime",8.2,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",,117
Starship Troopers,129.0,"Azione, Avventura, Fantascienza",7.3,Paul Verhoeven,"Casper Van Dien, Denise Richards, Dina Meyer, Jake Busey",,118
Sleeping Dogs,110.0,"Crime, Mistero, Thriller",6.0,Adam Cooper,"Russell Crowe, Karen Gillan, Marton Csokas, Tommy Flanagan",VM18,119
Bottoms,91.0,Commedia,6.7,Emma Seligman,"Rachel Sennott, Ayo Edebiri, Ruby Cruz, Havana Rose Liu",VM18,120
Troy,163.0,"Avventura, Dramma",7.3,Wolfgang Petersen,"Brad Pitt, Eric Bana, Orlando Bloom, Julian Glover",,121
The Batman,176.0,"Azione, Crime, Dramma",7.8,Matt Reeves,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell",,122
Blade Runner 2049,164.0,"Azione, Dramma, Mistero",8.0,Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista",,123
Talk to Me,95.0,"Horror, Thriller",7.1,Danny Philippou,"Michael Philippou, Ari McCarthy, Hamish Phillips, Kit Erhart-Bruce, Sarah Brokensha",VM18,124
Dune,137.0,"Azione, Avventura, Fantascienza",6.3,David Lynch,"Kyle MacLachlan, Virginia Madsen, Francesca Annis, Leonardo Cimino",,125
Deadpool,108.0,"Azione, Commedia",8.0,Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",VM18,126
The Hunger Games,142.0,"Azione, Avventura, Fantascienza",7.2,Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci",,127
Dream Scenario,102.0,"Commedia, Dramma, Fantasy",6.9,Kristoffer Borgli,"Lily Bird, Nicolas Cage, Julianne Nicholson, Jessica Clement",VM18,128
Alien,117.0,"Horror, Fantascienza",8.5,Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright",VM18,129
American Fiction,117.0,"Commedia, Dramma",7.5,Cord Jefferson,"Jeffrey Wright, Tracee Ellis Ross, John Ortiz, Erika Alexander",VM18,130
Humane,93.0,"Horror, Thriller",5.4,Caitlin Cronenberg,"Jay Baruchel, Emily Hampshire, Peter Gallagher, Enrico Colantoni",VM18,131
Mad Max,88.0,"Azione, Avventura, Fantascienza",6.8,George Miller,"Mel Gibson, Joanne Samuel, Hugh Keays-Byrne, Steve Bisley",,132
The 40 Year Old Virgin,116.0,"Commedia, Romantico",7.1,Judd Apatow,"Steve Carell, Catherine Keener, Paul Rudd, Romany Malco",,133
Kingdom of Heaven,144.0,"Azione, Avventura, Dramma",7.3,Ridley Scott,"Orlando Bloom, Eva Green, Liam Neeson, Martin Hancock",,134
Fight Club,139.0,Dramma,8.8,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier",,135
The Green Mile,189.0,"Crime, Dramma, Fantasy",8.6,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt",,136
The Crow,102.0,"Azione, Crime, Dramma",7.5,Alex Proyas,"Brandon Lee, Michael Wincott, Rochelle Davis, Ernie Hudson",,137
Eileen,97.0,"Dramma, Mistero, Thriller",6.0,William Oldroyd,"Thomasin McKenzie, Shea Whigham, Sam Nivola, Siobhan Fallon Hogan",VM18,138
Mean Girls,112.0,"Commedia, Musical",5.7,Samantha Jayne,"Arturo Perez Jr., Angourie Rice, Reneé Rapp, Auli'i Cravalho, Jaquel Spivey",VM14,139
Star Wars: Episode IX - The Rise of Skywalker,141.0,"Azione, Avventura, Fantasy",6.4,J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Adam Driver",,140
Mission: Impossible - Dead Reckoning Part One,163.0,"Azione, Avventura, Thriller",7.7,Christopher McQuarrie,"Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg",,141
Cabrini,142.0,"Biografia, Dramma",7.6,Alejandro Monteverde,"Cristiana Dell'Anna, John Lithgow, David Morse, Giancarlo Giannini",VM14,142
Mission: Impossible,110.0,"Azione, Avventura, Thriller",7.2,Brian De Palma,"Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny",,143
Wicked Little Letters,100.0,"Commedia, Crime, Dramma",7.0,Thea Sharrock,"Jessie Buckley, Olivia Colman, Timothy Spall, Gemma Jones",VM18,144
Deadpool 2,119.0,"Azione, Avventura, Commedia",7.6,David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison",VM18,145
Sixteen Candles,93.0,"Commedia, Romantico",7.0,John Hughes,"Molly Ringwald, Anthony Michael Hall, Justin Henry, Michael Schoeffling",,146
Past Lives,105.0,"Dramma, Romantico",7.9,Celine Song,"Greta Lee, Teo Yoo, John Magaro, Moon Seung-ah",,147
Animal,204.0,"Azione, Crime, Dramma",6.2,Sandeep Reddy Vanga,"Ranbir Kapoor, Anil Kapoor, Bobby Deol, Rashmika Mandanna",,148
Inglourious Basterds,153.0,"Avventura, Dramma, Guerra",8.4,Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent",,149
Star Wars: Episode III - Revenge of the Sith,140.0,"Azione, Avventura, Fantasy",7.6,George Lucas,"Hayden Christensen, Natalie Portman, Ewan McGregor, Samuel L. Jackson",,150
Star Wars: Episode VI - Return of the Jedi,131.0,"Azione, Avventura, Fantasy",8.3,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",,151
Ricky Stanicky,113.0,Commedia,6.2,Peter Farrelly,"Zac Efron, John Cena, Andrew Santino, Riley Stiles",VM18,152
Star Wars: Episode V - The Empire Strikes Back,124.0,"Azione, Avventura, Fantasy",8.7,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",,153
Idiocracy,84.0,"Avventura, Commedia, Fantascienza",6.5,Mike Judge,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews",VM18,154
Pearl,103.0,"Dramma, Horror, Thriller",7.0,Ti West,"Mia Goth, David Corenswet, Tandi Wright, Matthew Sunderland",VM18,155
Gisaengchung,132.0,"Dramma, Thriller",8.5,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik",,156
John Wick: Chapter 4,169.0,"Azione, Crime, Thriller",7.7,Chad Stahelski,"Keanu Reeves, Laurence Fishburne, George Georgiou, Lance Reddick",,157
The Image of You,90.0,Thriller,4.2,Jeff Fisher,"Sasha Pieterse, Parker Young, Mira Sorvino, Nestor Carbonell",VM18,158
Split,117.0,"Horror, Thriller",7.3,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula",,159
Founders Day,106.0,"Commedia, Horror, Mistero",4.3,Erik Bloomquist,"Naomi Grace, Devin Druid, William Russ, Amy Hargreaves",VM18,160
Napoleon,158.0,"Azione, Avventura, Biografia",6.4,Ridley Scott,"Joaquin Phoenix, Vanessa Kirby, Tahar Rahim, Rupert Everett",VM18,161
Everything Everywhere All at Once,139.0,"Azione, Avventura, Commedia",7.8,Daniel Kwan,"Daniel Scheinert, Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan",,162
Van Helsing,131.0,"Azione, Avventura, Fantasy",6.1,Stephen Sommers,"Hugh Jackman, Kate Beckinsale, Richard Roxburgh, Shuler Hensley",,163
The Lord of the Rings: The Two Towers,179.0,"Azione, Avventura, Dramma",8.8,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",,164
The Silence of the Lambs,118.0,"Crime, Dramma, Thriller",8.6,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine",,165
Midsommar,148.0,"Dramma, Horror, Mistero",7.1,Ari Aster,"Florence Pugh, Jack Reynor, Vilhelm Blomgren, William Jackson Harper",,166
Spider-Man: Across the Spider-Verse,140.0,"Animazione, Azione, Avventura",8.6,Joaquim Dos Santos,"Kemp Powers, Justin K. Thompson, Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez",,167
Aquaman and the Lost Kingdom,124.0,"Azione, Avventura, Fantasy",5.6,James Wan,"Jason Momoa, Patrick Wilson, Yahya Abdul-Mateen II, Amber Heard",VM14,168
Triangle of Sadness,147.0,"Commedia, Dramma",7.3,Ruben Östlund,"Thobias Thorwid, Harris Dickinson, Charlbi Dean, Jiannis Moustos",,169
Rogue One,133.0,"Azione, Avventura, Fantascienza",7.8,Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",,170
American Beauty,122.0,Dramma,8.3,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",,171
Star Wars: Episode VII - The Force Awakens,138.0,"Azione, Avventura, Fantascienza",7.8,J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson",,172
Glass,129.0,"Dramma, Horror, Fantascienza",6.6,M. Night Shyamalan,"James McAvoy, Bruce Willis, Samuel L. Jackson, Anya Taylor-Joy",,173
