titolo,durata,genere,rating,regista,cast,classificazione,film_id
Trumbo,124.0,"Biografia, Dramma",7.4,Jay Roach,"Bryan Cranston, Diane Lane, Helen Mirren, Louis C.K.",VM18,5461
Lost and Delirious,103.0,"Dramma, Romantico",6.8,Léa Pool,"Piper Perabo, Jessica Paré, Mischa Barton, Jackie Burroughs",VM18,5462
Poltergeist III,98.0,"Horror, Thriller",4.7,Gary Sherman,"Heather O'Rourke, Tom Skerritt, Nancy Allen, Zelda Rubinstein",,5463
Nanny McPhee and the Big Bang,109.0,"Commedia, Per famiglie, Fantasy",6.1,Susanna White,"Emma Thompson, Maggie Gyllenhaal, Ralph Fiennes, Oscar Steer",,5464
Grind,105.0,"Avventura, Commedia, Sport",5.9,Casey La Scala,"Adam Brody, Joey Kern, Mike Vogel, Vince Vieluf",VM14,5465
The Smurfs 2,105.0,"Animazione, Avventura, Commedia",5.3,Raja Gosnell,"Neil Patrick Harris, Jayma Mays, Katy Perry, Hank Azaria",,5466
Trolljegeren,103.0,"Dramma, Fantasy, Thriller",6.9,André Øvredal,"Otto Jespersen, Robert Stoltenberg, Knut Nærum, Glenn Erland Tosterud",VM14,5467
Lakewood,84.0,Thriller,4.9,Phillip Noyce,"Naomi Watts, Colton Gobbo, Andrew Chown, Sierra Maltby",VM14,5468
Dangerous,99.0,"Azione, Thriller",5.2,David Hackl,"Scott Eastwood, Kevin Durand, Famke Janssen, Tyrese Gibson",VM18,5469
Sightless,89.0,"Dramma, Mistero, Thriller",5.5,Cooper Karl,"Madelaine Petsch, Deniz Akdeniz, Matthew Yang King, Alexander Koch",,5470
Vampire Hunter D: Bloodlust,103.0,"Animazione, Azione, Dramma",7.6,Yoshiaki Kawajiri,"Andrew Philpot, John Rafter Lee, Pamela Adlon, Wendee Lee",,5471
Cursed,97.0,"Commedia, Horror",5.0,Wes Craven,"Christina Ricci, Jesse Eisenberg, Portia de Rossi, Mya",,5472
Survivor,96.0,"Azione, Crime, Thriller",5.6,James McTeigue,"Milla Jovovich, Pierce Brosnan, Dylan McDermott, Paddy Wallace",,5473
Lockout,95.0,"Azione, Fantascienza, Thriller",6.0,James Mather,"Steve Saint Leger, Guy Pearce, Maggie Grace, Peter Stormare, Vincent Regan",VM14,5474
Everyone Says I Love You,101.0,"Commedia, Musical, Romantico",6.7,Woody Allen,"Woody Allen, Goldie Hawn, Julia Roberts, Edward Norton",VM18,5475
Gekijôban Poketto Monsutâ: Myûtsû no Gyakushû,96.0,"Animazione, Azione, Avventura",6.3,Kunihiko Yuyama,"Veronica Taylor, Rachael Lillis, Eric Stuart, Rica Matsumoto",,5476
Unleashed,103.0,"Azione, Crime, Thriller",7.0,Louis Leterrier,"Jet Li, Bob Hoskins, Morgan Freeman, Kerry Condon",,5477
Tulip Fever,105.0,"Dramma, Storico, Romantico",6.2,Justin Chadwick,"Alicia Vikander, Dane DeHaan, Jack O'Connell, Holliday Grainger",VM18,5478
Kill Your Darlings,104.0,"Biografia, Dramma, Romantico",6.4,John Krokidas,"Daniel Radcliffe, Dane DeHaan, Michael C. Hall, Ben Foster",VM18,5479
Someone Great,92.0,"Commedia, Romantico",6.2,Jennifer Kaytin Robinson,"Gina Rodriguez, LaKeith Stanfield, Brittany Snow, DeWanda Wise",VM18,5480
About Fate,103.0,"Commedia, Romantico",6.4,Marius Vaysberg,"Emma Roberts, Thomas Mann, Madelaine Petsch, Lewis Tan",VM18,5481
Dil Se..,144.0,"Dramma, Romantico",7.5,Mani Ratnam,"Shah Rukh Khan, Manisha Koirala, Preity G Zinta, Raghubir Yadav",,5482
Love in Paris,105.0,"Dramma, Romantico",3.0,Anne Goursaud,"Mickey Rourke, Agathe de La Fontaine, Angie Everhart, Steven Berkoff",VM18,5483
Dream a Little Dream,114.0,"Commedia, Dramma, Romantico",5.7,Marc Rocco,"Corey Feldman, Jason Robards, Corey Haim, Piper Laurie",,5484
Turner & Hooch,97.0,"Commedia, Crime, Dramma",6.2,Roger Spottiswoode,"Tom Hanks, Mare Winningham, Craig T. Nelson, Reginald VelJohnson",,5485
Don't Let Go,103.0,"Dramma, Horror, Mistero",6.4,Jacob Estes,"David Oyelowo, Storm Reid, Mykelti Williamson, Alfred Molina",VM18,5486
Collateral Beauty,97.0,"Dramma, Romantico",6.8,David Frankel,"Will Smith, Edward Norton, Kate Winslet, Michael Peña",VM14,5487
Blue Streak,93.0,"Azione, Commedia, Crime",6.3,Les Mayfield,"Martin Lawrence, Luke Wilson, Peter Greene, Dave Chappelle",,5488
The Hudsucker Proxy,111.0,"Commedia, Dramma, Fantasy",7.2,Joel Coen,"Ethan Coen, Tim Robbins, Paul Newman, Jennifer Jason Leigh, Charles Durning",T,5489
The Dare,97.0,"Horror, Mistero, Thriller",5.1,Giles Alderson,"Bart Edwards, Richard Brake, Richard Short, Alexandra Evans",VM18,5490
Air America,113.0,"Azione, Commedia, Guerra",5.8,Roger Spottiswoode,"Mel Gibson, Robert Downey Jr., Nancy Travis, Ken Jenkins",,5491
Dorm Daze,96.0,"Commedia, Crime, Mistero",4.6,David Hillenbrand,"Scott Hillenbrand, Tatyana Ali, Boti Bliss, Gable Carr, Patrick Cavanaugh",VM18,5492
Upside Down,109.0,"Dramma, Romantico, Fantascienza",6.3,Juan Solanas,"Jim Sturgess, Kirsten Dunst, Timothy Spall, Blu Mankuma",VM14,5493
Austenland,97.0,"Commedia, Romantico",6.3,Jerusha Hess,"Keri Russell, JJ Feild, Jennifer Coolidge, Bret McKenzie",VM14,5494
Alex Cross,101.0,"Azione, Crime, Mistero",5.2,Rob Cohen,"Tyler Perry, Matthew Fox, Rachel Nichols, Edward Burns",VM14,5495
American Pastoral,108.0,"Crime, Dramma, Mistero",6.1,Ewan McGregor,"Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert",VM18,5496
When We First Met,97.0,"Commedia, Fantasy, Romantico",6.4,Ari Sandel,"Adam Devine, Alexandra Daddario, Shelley Hennig, Andrew Bachelor",,5497
Game of Death,100.0,"Azione, Crime, Dramma",5.9,Robert Clouse,"Bruce Lee, Bruce Lee, Gig Young, Dean Jagger, Hugh O'Brian",,5498
Muppets Most Wanted,107.0,"Avventura, Commedia, Crime",6.4,James Bobin,"Ricky Gervais, Ty Burrell, Tina Fey, Steve Whitmire",,5499
Gangs of Wasseypur,321.0,"Azione, Commedia, Crime",8.2,Anurag Kashyap,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha",,5500
Labor Day,111.0,"Dramma, Romantico, Thriller",6.9,Jason Reitman,"Kate Winslet, Josh Brolin, Gattlin Griffith, Clark Gregg",,5501
The Art of Self-Defense,104.0,"Azione, Commedia, Crime",6.6,Riley Stearns,"Jesse Eisenberg, Alessandro Nivola, Imogen Poots, Steve Terada",VM18,5502
Glory Road,118.0,"Biografia, Dramma, Sport",7.2,James Gartner,"Josh Lucas, Derek Luke, Austin Nichols, Jon Voight",,5503
Waiting to Exhale,124.0,"Commedia, Dramma, Romantico",6.0,Forest Whitaker,"Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon",VM18,5504
Frankenhooker,85.0,"Commedia, Horror, Fantascienza",6.2,Frank Henenlotter,"James Lorinz, Joanne Ritchie, Patty Mullen, J.J. Clark",VM18,5505
Wonder Wheel,101.0,"Dramma, Romantico",6.2,Woody Allen,"Justin Timberlake, Juno Temple, Robert C. Kirk, Kate Winslet",VM14,5506
The Brave One,122.0,"Azione, Crime, Dramma",6.7,Neil Jordan,"Jodie Foster, Terrence Howard, Naveen Andrews, Nicky Katt",VM18,5507
LOL,97.0,"Commedia, Dramma, Romantico",4.4,Lisa Azuelos,"Miley Cyrus, Douglas Booth, Ashley Greene, Demi Moore",,5508
Green Zone,115.0,"Azione, Dramma, Thriller",6.8,Paul Greengrass,"Matt Damon, Jason Isaacs, Greg Kinnear, Igal Naor",,5509
A Week Away,94.0,"Dramma, Per famiglie, Musical",5.7,Roman White,"Kevin Quinn, Bailee Madison, Jahbril Cook, Kat Conner Sterling",,5510
Nurse 3-D,84.0,"Horror, Thriller",4.5,Douglas Aarniokoski,"Paz de la Huerta, Katrina Bowden, Judd Nelson, Corbin Bleu",VM18,5511
8 A.M. Metro,116.0,Dramma,7.4,Raj Rachakonda,"Saiyami Kher, Gulshan Devaiah, Sandeep Bhardwaj, Rajiv Kumar Aneja",,5512
Creep,85.0,"Horror, Mistero, Thriller",5.6,Christopher Smith,"Franka Potente, Sean Harris, Vas Blackwood, Ken Campbell",VM18,5513
Orlando,94.0,"Biografia, Dramma, Fantasy",7.1,Sally Potter,"Tilda Swinton, Billy Zane, Quentin Crisp, Jimmy Somerville",VM14,5514
Whatever It Takes,94.0,"Commedia, Dramma, Romantico",5.5,David Raynr,"Shane West, Marla Sokoloff, Jodi Lyn O'Keefe, Manu Intiraymi",,5515
Falling,112.0,Dramma,6.5,Viggo Mortensen,"Viggo Mortensen, Lance Henriksen, Laura Linney, Terry Chen",,5516
Werewolves Within,97.0,"Commedia, Horror, Mistero",6.0,Josh Ruben,"Sam Richardson, Milana Vayntrub, George Basil, Sarah Burns",VM18,5517
The Spy Next Door,94.0,"Azione, Commedia, Per famiglie",5.4,Brian Levant,"Jackie Chan, Amber Valletta, Billy Ray Cyrus, Madeline Carroll",,5518
A Little Chaos,117.0,"Dramma, Romantico",6.5,Alan Rickman,"Kate Winslet, Alan Rickman, Stanley Tucci, Matthias Schoenaerts",VM18,5519
Fahrenheit 451,112.0,"Dramma, Fantascienza",7.2,François Truffaut,"Oskar Werner, Julie Christie, Cyril Cusack, Anton Diffring",,5520
The Cure,97.0,"Avventura, Dramma",7.7,Peter Horton,"Joseph Mazzello, Brad Renfro, Aeryk Egan, Delphine French",VM14,5521
Cellular,94.0,"Azione, Crime, Thriller",6.5,David R. Ellis,"Kim Basinger, Chris Evans, Jason Statham, William H. Macy",VM14,5522
The Mirror Crack'd,105.0,"Crime, Mistero, Thriller",6.2,Guy Hamilton,"Angela Lansbury, Tony Curtis, Rock Hudson, Geraldine Chaplin",,5523
Welcome Home,97.0,"Dramma, Horror, Mistero",5.2,George Ratliff,"Emily Ratajkowski, Aaron Paul, Riccardo Scamarcio, Katy Louise Saunders",VM18,5524
To the Wonder,112.0,"Dramma, Romantico",5.8,Terrence Malick,"Ben Affleck, Olga Kurylenko, Javier Bardem, Rachel McAdams",VM18,5525
World Trade Center,129.0,"Dramma, Storico, Thriller",6.0,Oliver Stone,"Nicolas Cage, Michael Peña, Maria Bello, Maggie Gyllenhaal",,5526
